,Comment
262,"['alhamdulillah', 'subsidi', 'perintah', 'bantu', 'banget', 'bpjs', 'sehat', 'priksa', 'priksa', 'anak', 'keluarga', 'jamin', 'makasih', 'bpjs', 'sehat']"
263,"['semenjak', 'program', 'jknkis', 'masyarakat', 'sdh', 'rasa', 'manfaat', 'bbrp', 'tetangga', 'keluarga', 'prnh', 'tp', 'mnurut', 'dgn', 'trdftr', 'sbg', 'serta', 'aman', 'tdk', 'khawatir', 'dgn']"
264,"['asli', 'tuh', 'iuaran', 'bpjs', 'murah', 'banding', 'dgn', 'asuransi', 'sakit', 'bayar', 'bpjs', 'pasien', 'bayar', 'sakit', 'ringan', 'sakit', 'berat', 'contoh', 'lahir', 'trs', 'operasilahiran', 'sakit', 'bahagia', 'cover', 'smua', 'dgn', 'bpjs', 'pikir', 'positive', 'maju', 'berat', 'rubah', 'aja', 'kelas', 'sakit', 'mahaljika', 'tdk', 'bpjs', 'tdk', 'asuransi', 'rs', 'rawat', 'inap', 'hrs', 'sedia', 'uang', 'jt', 'tdk', 'yaa', 'tdk', 'rawat', 'inap', 'hayooo', 'mari', 'pikir', 'positive']"
265,"['gotong', 'royong', 'berat', 'satu', 'cibir']"
266,"['terima', 'kasih', 'bpjs', 'sehat', 'moga', 'semangat', 'jalan', 'program', 'jknkis', 'negara', 'serta', 'iur', 'kelas', 'ubah', 'serta', 'kelas']"
267,"['iur', 'serta', 'sesuai', 'iur', 'yg', 'bpjs', 'sehat', 'kolaps', 'yg', 'daftar', 'pas', 'sakit', 'sehat', 'dibayarkanayo', 'gotong', 'royongagar', 'indonesia', 'sehat']"
268,"['kelompok', 'mgkin', 'program', 'tdk', 'ad', 'manfaat', 'tdk', 'coba', 'main', 'rs', 'lihat', 'yg', 'sdg', 'ruang', 'cuci', 'darah', 'yg', 'ruang', 'operasi', 'bayi', 'yg', 'didlm', 'ruang', 'rwt', 'intensif', 'pasien', 'stroke', 'yg', 'sdg', 'pilih', 'ruang', 'icu', 'pasien', 'dgn', 'butuh', 'medis', 'msg', 'rs', 'indonesia', 'nyawa', 'yg', 'lat', 'byk', 'keluarga', 'yg', 'hindar', 'sakit', 'tdk', 'ad', 'biaya', 'syukur', 'klo', 'tuhan', 'hikmat', 'kpd', 'perintah', 'utk', 'cipta', 'program', 'jamin', 'sehat']"
269,"['bpjs', 'sehat', 'pribadi', 'bantu', 'harusss', 'bayar', 'bingung', 'sakit', 'haruss', 'rawat', 'dirumasakit', 'yg', 'notabene', 'keluar', 'biaya', 'gotong', 'royong', 'budaya', 'indonesia']"
270,"['bpjs', 'sehat', 'pribadi', 'bantu', 'harusss', 'bayar', 'bingung', 'sakit', 'haruss', 'rawat', 'dirumasakit', 'yg', 'notabene', 'keluar', 'biaya', 'gotong', 'royong', 'budaya', 'indonesia']"
271,"['program', 'bantu', 'rakyat', 'indonesia', 'takut', 'obat', 'rumah', 'sakit', 'pasrah', 'ajal', 'jemput', 'rumah', 'bayak', 'kalang', 'tengah', 'takut', 'obat', 'biaya', 'obat', 'sanggat', 'tinggi', 'banding', 'menyicil', 'iur', 'bulan', 'nilai', 'iur', 'benefit', 'moga', 'sadar', 'asuransi', 'nasional', 'negara']"
272,"['bantu', 'program', 'jkn', 'kis', 'sy', 'tahun', 'jalan', 'operasi', 'cover', 'bpjs', 'rincian', 'biaya', 'rupiah', 'pasien', 'fokus', 'recovery', 'khawatir', 'biaya', 'rumah', 'sakit', 'terimakasih', 'perintah', 'terimakasih', 'bpjs']"
273,"['tahan', 'program', 'sesuai', 'nilai', 'iur', 'baik', 'kualitas', 'data', 'layan', 'perangkat', 'yg', 'dukung', 'pegawai', 'aparatur', 'negara', 'wajib', 'dukung', 'program', 'perintah', 'serta', 'taat', 'smua', 'atur', 'deh', 'smua', 'jalan']"
274,"['bismillahalloh', 'maha', 'bijaksana', 'cipta', 'pasang', 'pasang', 'yg', 'sakit', 'yg', 'sehat', 'yg', 'mampusemuanya', 'gandeng', 'tangan', 'bantu', 'dukung', 'gotong', 'royong', 'insya', 'alloh', 'program', 'bpjs', 'salah', 'ikhtiar', 'bangsa', 'capai', 'sejahtera', 'derajat', 'sehat', 'yg', 'meratasemoga', 'bangsa', 'lindung', 'alloh', 'swt', 'pimpin', 'bangsa', 'senantiasa', 'tunjuk', 'putus', 'yg', 'baik', 'makmur', 'rakyat', 'indonesiatetap', 'semangat', 'tawakkal', 'saudarakula', 'tahzan', 'innallahha', 'maana']"
275,"['alhamdullilah', 'rasa', 'manfaat', 'bpjs', 'sehat', 'rawat', 'rs', 'bpjs', 'sehat', 'bayar', 'rs', 'beda', 'layan', 'pakai', 'bpjs', 'habis', 'juta', 'awat', 'rs', 'hadir', 'bpjs', 'sehat', 'tolong', 'butuh', 'terima', 'kasih', 'bpjs', 'sehat']"
276,"['yok', 'gotong', 'royong', 'indonesia']"
277,"['layan', 'bagus', 'mudah', 'aplikasi', 'sulit', 'cari', 'rumah', 'sakit', 'puskesmas', 'dokter', 'praktek', 'kamar', 'awat', 'informasi', 'kosong', 'daftar', 'online', 'moga', 'maju']"
278,"['perintah', 'hadir', 'program', 'jkn', 'amanah', 'bpjs', 'sehat', 'juta', 'masyarakat', 'sdh', 'rasa', 'manfaat', 'sadar', 'program', 'jkn', 'sifat', 'gotong', 'royong', 'sadar', 'utk', 'bayar', 'iur', 'prediksi', 'butuh']"
279,"['alhamdulillah', 'syukur', 'bpjs', 'sehat', 'adik', 'operasi', 'hernia', 'bayar', 'puluh', 'juta', 'biaya', 'operasi', 'serta', 'bpjs', 'sehat', 'biaya', 'tanggung', 'bpjs', 'sehat', 'terimakasih', 'bpjs', 'sehat']"
280,"['bpjs', 'sehat', 'bantu', 'keluarga', 'banding', 'iur', 'yg', 'bayar', 'dgn', 'biaya', 'rumah', 'sakit', 'terima', 'kasih', 'bpjs', 'sehat']"
281,"['program', 'jknkis', 'yg', 'kelola', 'bpjs', 'sehat', 'bukti', 'bantu', 'masyarakatndak', 'bayang', 'bpjs', 'sehat', 'masyarakat', 'yg', 'akses', 'layan', 'sehat', 'yg', 'biaya', 'tdk', 'membayarsemoga', 'bpjs', 'sehat', 'sustain', 'dg', 'naik', 'iur', 'initerima', 'kasih', 'bpjsluv']"
282,"['mari', 'paham', 'regulasi', 'bijak', 'sikap']"
283,"['percaya', 'perintah', 'timbang', 'matang', 'ambil', 'putus', 'tolong', 'program', 'sehat', 'mampu', 'bayar', 'syukur', 'tolong', 'sakit', 'gotong', 'royong']"
284,"['pikir', 'ijin', 'fakta', 'perintah', 'biaya', 'rakyat', 'yg', 'kategori', 'miskin', 'juta', 'jalan', 'kelompok', 'kanan', 'bayar', 'iur', 'kelas', 'lurus', 'informasi', 'pres', 'th', 'iur', 'tahun', 'bayar', 'perintah', 'atur', 'subsidi', 'kelompok', 'miskin', 'ramai', 'anggap', 'zholim', 'naik', 'iur', 'kelas', 'pilih', 'kelas', 'paksa', 'pilih', 'berat', 'pindah', 'kelas', 'inti', 'program', 'sifat', 'gotong', 'royong', 'mampu', 'pilih', 'bayar', 'tinggi', 'iur', 'kondisi', 'program', 'sehat', 'iur', 'pakai', 'tolong', 'sakit']"
285,"['perintah', 'hadir', 'jamin', 'sehat', 'rakyat', 'yg', 'bantu', 'yg', 'nama', 'gotong', 'royong', 'iur', 'kelas', 'bantu', 'perintah', 'bayar', 'aktif', 'layan', 'pdhl', 'hutang', 'berrrrbulan', 'bpjs', 'sehat', 'you', 'pay', 'peanuts', 'you', 'get', 'the', 'whole', 'zoo']"
286,"['inti', 'jkn', 'gotong', 'royong']"
287,"['bpjs', 'gak', 'sakit', 'sampe', 'anggap', 'iur', 'bayar', 'bantu', 'yg', 'butuh', 'yg', 'gak', 'bayar', 'iur', 'gilir', 'sakit', 'ngeluh', 'bpjsy', 'gak', 'dipake', 'pdahal', 'klo', 'rutin', 'dbayar', 'ga', 'klo', 'nunggak', 'asa', 'ujungny', 'butuh']"
288,"['moga', 'program', 'ttp', 'jalan', 'krn', 'yg', 'bantu', 'bpjs', 'sehat', 'prinsip', 'gotong', 'royong', 'tolong']"
289,"['biaya', 'rs', 'mahal', 'gak', 'masalah', 'lonjak', 'angka', 'manfaat', 'tingkat', 'sesuai', 'iur', 'yg', 'paham', 'yg', 'golong', 'kelas', 'kelas', 'terimakasih', 'bpjs', 'kes']"
290,"['terimakasih', 'fahmi', 'idris', 'ttg', 'jelas', 'yg', 'sdh', 'program', 'jamin', 'sehat', 'nasional', 'yg', 'kelola', 'bpjs', 'sehat', 'juang', 'negara', 'indonesia', 'yg', 'cinta', 'sdh', 'manfaat', 'yg', 'dn', 'rasa', 'seklg', 'rakyat', 'indonesia', 'serta', 'mandiri', 'bayar', 'premi', 'sesuai', 'mampu', 'imbang', 'pasu', 'dn', 'keluar', 'jaya', 'trus', 'jkn', 'kis', 'utk', 'indonesia', 'yg', 'sejahtera']"
291,"['bpjs', 'sehat', 'perintah', 'mudah', 'jamin', 'sehat', 'rakyat', 'iur', 'murah', 'manfaat', 'dapat', 'kelas', 'perintah', 'subsidi', 'kelas', 'sesuai', 'iur', 'laku', 'turun', 'kelas', 'fyisemua', 'kelas', 'layan', 'manfaat', 'sehat', 'mari', 'bayar', 'iur', 'waktu', 'kartu', 'bpjs', 'aktif', 'sewaktuwaktu', 'sakit', 'gotong', 'royong', 'tolong']"
292,"['gotong', 'royong', 'insaallah', 'tertolongsemoga', 'pahala', 'bayar', 'iur', 'aminn']"
293,"['kalo', 'sisih', 'rizki', 'iur', 'berat', 'beli', 'rokok']"
294,"['perintah', 'sdh', 'hadir', 'bantu', 'masyarakat', 'yg', 'mampumiskin', 'dg', 'bayar', 'iur', 'yg', 'silah', 'sesuai', 'mampu', 'ekonomi', 'program', 'sdh', 'bantu', 'utk', 'kurang', 'layan', 'baik', 'scra', 'pemerintahbpjs', 'kes', 'rs', 'puskesmas', 'klinik', 'dokter', 'praktek', 'orang']"
295,"['rokok', 'kopi', 'rela', 'mati', 'cari', 'uang', 'utk', 'dpt', 'bel', 'iur', 'bpjs', 'rela', 'matimatian', 'nuntut', 'adil', 'sadar', 'paham', 'hak', 'hak', 'iur', 'bpjs', 'yg', 'bayar', 'pasti', 'butuh', 'layan', 'sehat', 'jangkau', 'adil']"
296,"['komen', 'negatif', 'hebat', 'pintar', 'hujat', 'doangkalian', 'emang', 'sakit', 'tp', 'bgmn', 'keluarga', 'bapakibi', 'nenekkakek', 'kakakadek', 'omtante', 'gimana', 'daerah', 'pencil', 'bantu', 'program', 'perintah', 'hadir', 'bantu', 'masyarakatx', 'yg', 'rata', 'masyarakat', 'dpt', 'kis', 'perintah', 'pusat', 'daerah', 'yg', 'mandiri', 'untung', 'bs', 'autodebit', 'rekening', 'potong', 'lgsg', 'coba', 'bayang', 'tdk', 'mekanisme', 'autodebit', 'turun', 'kota', 'kabupaten', 'sj', 'bs', 'ojek', 'krn', 'alat', 'transportasi', 'umum', 'yg', 'ad', 'daerah', 'jarak', 'tempuh', 'jam', 'butuh', 'biaya', 'turun', 'rb']"
297,"['sisi', 'negatif', 'coba', 'jiwa', 'yg', 'tolong', 'bpjs', 'sehat']"
298,"['alhamdulilah', 'ortu', 'sdh', 'tinggal', 'dunia', 'bantu', 'bpjs', 'kesehatanga', 'tau', 'kalo', 'ga', 'bpjs', 'sehat', 'puluh', 'juta', 'ortu', 'keluar', 'uang', 'segitudan', 'terimakasih', 'perintah', 'terimkasih', 'bpjs', 'kesehatansaran', 'kalo', 'berat', 'turun', 'kelas', 'koq', 'kelas', 'subsidi', 'kalo', 'ga', 'salah']"
299,"['bismillahirrahmanirrahimalhamdulillah', 'allah', 'negara', 'hadir', 'jamin', 'sehat', 'bpjs', 'sehat', 'syukur', 'bpjs', 'sehat', 'alhamdulillah', 'habis', 'operasi', 'eksisi', 'stt', 'yg', 'biaya', 'sangatt', 'besaaaaarrr', 'pakai', 'jkn', 'kemarin', 'full', 'jamin', 'penuh', 'jkn', 'iur', 'bulan', 'yg', 'murah', 'rutin', 'bayar', 'manfaat', 'yg', 'rasa', 'rakyat', 'masyarakat', 'dg', 'bpjs', 'sehat', 'mari', 'warga', 'negara', 'indonesia', 'syukur', 'terima', 'kasih', 'bpjs', 'sehat', 'terima', 'kasih', 'bpjs', 'sehat']"
300,"['terima', 'kasih', 'jasa', 'gotong', 'royong', 'hrs', 'ikhlas', 'kl', 'ikhlas', 'kelas', 'brarti', 'ikhlas', 'tolong', 'yg', 'kl', 'ikhlas', 'cm', 'dkelas', 'silah', 'turun', 'kelas', 'tdk', 'ad', 'yg', 'susah']"
301,"['perintah', 'hadir', 'sehat', 'rakyat', 'mari', 'partisipasi', 'gotong', 'royong', 'sehat', 'aamiin']"
302,"['terima', 'kasih', 'jkn', 'kis', 'tolong', 'keluarga']"
303,"['terima', 'kasih', 'bpjs', 'sehat', 'saudara', 'serta', 'mandiri', 'kelas', 'guna', 'kis', 'rutin', 'sakit', 'kronis', 'iur', 'bulan', 'biaya', 'layan', 'sehat', 'perbulannyadan', 'terima', 'kasih', 'perintah', 'subsidi', 'iur', 'kelas', 'kelas', 'pilih', 'pilih', 'kelas', 'sederhana']"
304,"['netijen', 'negara', 'sadar', 'yah', 'rasa', 'manfaat']"
305,"['program', 'perintah', 'yg', 'bagus', 'nih', 'lahir', 'jamin', 'bpjs', 'sehat', 'kl', 'asuransi', 'swasta', 'kdg', 'gk', 'jamin', 'kl', 'utk', 'lahir', 'terimakasih', 'bpjs', 'sehat', 'maju']"
306,"['ngeluh', 'nonton', 'streaming', 'youtube', 'jam', 'pakai', 'wifi', 'tetangga']"
307,"['cerita', 'alam', 'pribadi', 'bln', 'januari', 'sy', 'pasang', 'ring', 'jantung', 'yg', 'dokter', 'biaya', 'puluh', 'ratus', 'juta', 'syukur', 'bpjs', 'sehat', 'karna', 'sy', 'bantu', 'mana', 'biaya', 'yg', 'tsb', 'sy', 'bayar', 'peser', 'kontrol', 'rutin', 'bulan', 'resep', 'obat', 'yg', 'mahal', 'sy', 'uang', 'tebus', 'sy', 'pasien', 'jantung', 'pasien', 'sakit', 'katastropik', 'sakit', 'kronis', 'tdk', 'bayang', 'uang', 'yg', 'anda', 'program', 'terima', 'kasih', 'bpjs', 'terima', 'kasih', 'kpd', 'serta', 'yg', 'rutin', 'bayar', 'iur', 'iur', 'bpkibu', 'bantu', 'yg', 'butuh', 'mari', 'jaga', 'sehat', 'karna', 'sehat', 'mahal', 'sakit', 'gratis']"
308,"['alam', 'operasi', 'sampe', 'rumah', 'sakit', 'dicover', 'full', 'bpjs', 'kesehatanalmbapak', 'sm', 'waktu', 'awat', 'rumah', 'sakit', 'jg', 'dicover', 'full', 'bpjs', 'sehat', 'anda', 'ga', 'pke', 'bpjs', 'sehat', 'brp', 'biaya', 'yg', 'sdh', 'keluar', 'utk', 'ga', 'tau', 'uji', 'sakitsehingga', 'sehat', 'mari', 'bagi', 'trima', 'kasih', 'bpjs', 'sehat']"
309,"['thanks', 'bpjsawal', 'maret', 'kemarin', 'adik', 'tindak', 'operasi', 'patah', 'tulang', 'tangan', 'pakai', 'jamin', 'bpjs', 'kena', 'biaya', 'tambah', 'peser', 'proses', 'cepat', 'belit', 'belit', 'rs', 'hermina']"
310,"['benefit', 'oleh', 'keluarga', 'program', 'bpjs', 'sehat', 'masyarakat', 'merasakannnya']"
311,"['alhamdulillah', 'gotong', 'royong', 'tolong', 'tolong', 'yg', 'kls', 'bantu', 'subsidi', 'perintah', 'terima', 'kasih', 'bpjs', 'sehat']"
312,"['gotong', 'royong', 'indonesia']"
313,"['mari', 'paham', 'manfaat', 'program', 'bpjs', 'sehat', 'niat', 'sedekah', 'bantu', 'yg', 'sakit']"
314,"['asuransi', 'jaga', 'jaga', 'asuransi', 'kendara', 'finansial', 'sehat', 'asuransi', 'jiwa', 'manfaat', 'rasa', 'premi', 'ny', 'hitung', 'aktuaria', 'bas', 'gotong', 'royong', 'asuransi', 'serta', 'konsepny', 'subsidi', 'silang', 'beneuntung', 'tinggal', 'indonesia', 'asuransi', 'jkn', 'sesuai', 'amanat', 'undang', 'iklan', 'tv', 'sumbang', 'sakit', 'masyarakat', 'indonesia', 'tercover', 'jamin', 'sehat']"
315,"['pikir', 'mudah', 'sakit', 'gk', 'uang', 'pasrah', 'dgn', 'skrg', 'dgn', 'rutin', 'bsa', 'tercover', 'biaya', 'obat', 'knp', 'naik', 'obat', 'harga', 'turun']"
316,"['adik', 'tua', 'tanggung', 'tempo', 'pake', 'bpjs', 'ga', 'tambah', 'biaya', 'peser', 'layan', 'faskesnya', 'mantap', 'edukasi', 'tambah', 'luar', 'layan', 'terima', 'kasih', 'bantu', 'adik', 'ortu']"
317,"['iur', 'bawah', 'asuransi', 'swasta']"
318,"['bantu', 'program', 'jkn', 'masyarakat', 'indonesia']"
319,"['terima', 'kasih', 'bpjs', 'sehat', 'bantu', 'papa', 'yg', 'cuci', 'darah', 'keluar', 'rupiah', 'peser']"
320,"['masyarakat', 'bantu', 'hadir', 'bpjs', 'sehat', 'masyarakat', 'mana', 'bpjs', 'sulit', 'akses', 'layan', 'sehat', 'hadir', 'bpjs', 'berat', 'obat', 'obat', 'berat', 'kurang', 'dana', 'fluu', 'berat', 'obat', 'ubah', 'kawan', 'keluh', 'iur', 'sifat', 'pilih', 'sesuai', 'mampu', 'silah', 'pilih', 'kelas', 'kelas', 'silah', 'ambil', 'kelas', 'bilang', 'silah', 'aju', 'serta', 'tanggung', 'perintah', 'penuh', 'kriteriaa']"
321,"['terima', 'kasih', 'bpjs', 'sehat', 'perintah', 'yg', 'hadir', 'topang', 'bantu', 'mayarakat', 'program', 'jkn', 'semangat', 'bpjs', 'sehat']"
322,"['bnyak', 'masyarakat', 'yg', 'bantu', 'program', 'masyarakat', 'sesuai', 'kelas', 'mampu', 'financialnya', 'gotong', 'royong', 'insyaallah', 'tolong']"
323,"['paham', 'program', 'landas', 'prinsip', 'gotongroyong', 'mana', 'iur', 'serta', 'sehat', 'bantu', 'serta', 'sakit', 'bantu', 'muda', 'bantu', 'tua', 'prinsip', 'gotong', 'royong', 'wujud', 'masyarakat', 'sinergi', 'serta', 'jknkis', 'program', 'lindung', 'sehat', 'jalan']"
324,"['bayar', 'tpi', 'manfaat', 'obat', 'kali', 'manusia', 'bodoh', 'yg', 'bilang', 'asuransi', 'sehat', 'indonesia', 'mahal', 'rokok', 'jajan', 'kau', 'aja', 'hari', 'sgtu']"
325,"['terimaksih', 'bpjs', 'sehat', 'mertua', 'operasi', 'jantung', 'hbs', 'biaya', 'ratus', 'juta', 'alhamdulillah', 'dicover', 'total', 'bpjs', 'pdhl', 'klo', 'hitung', 'total', 'iur', 'bpk', 'jd', 'pns', 'smp', 'pensiun', 'nutup', 'biaya', 'operasinysmg', 'bpjs', 'untk', 'rakyat', 'indonesia']"
326,"['terima', 'kasih', 'bpjs', 'sehat', 'hadir', 'program', 'jamin', 'sehat', 'masyarakat', 'indonesia']"
327,"['telaah', 'sisi', 'positif', 'bpjs', 'sehat', 'negara', 'hadir', 'jamin', 'sehat', 'rakyat', 'akses', 'layan', 'sehat', 'kecuali', 'krn', 'sehat', 'mrupkan', 'tonggak', 'utama', 'langsung', 'hidup', 'rakyat', 'bangsa', 'tinggi', 'angka', 'serta', 'pbi', 'yg', 'bayar', 'perintah', 'bukti', 'negara', 'hadir', 'rakyat', 'pbi', 'segmen', 'pbpu', 'mandiri', 'yg', 'sempat', 'pilih', 'hak', 'kelas', 'sesuai', 'mampu', 'paksa', 'kelas', 'yg', 'beda', 'beda', 'akses', 'manfaat', 'medis', 'yg', 'oleh', 'serta']"
328,"['bpjs', 'manfaat', 'rasa', 'manfaat', 'bubarmasalah', 'wajar', 'biaya', 'obat', 'emang', 'mahal']"
329,"['pro', 'kontra', 'sesuai', 'iur', 'bpjs', 'sehat', 'perintah', 'banyaktetapi', 'sadar', 'program', 'jkn', 'kis', 'terus', 'yg', 'rasa', 'manfaatnyasyukurlah', 'milik', 'perintah', 'yg', 'merta', 'lepas', 'tanganlebih', 'an', 'juta', 'jiwajadi', 'tanggung', 'pemerintahpemerintah', 'peduli', 'sungguh', 'kondisi', 'masyarakat', 'dtengah', 'pandemikkhusus', 'ut', 'kelas', 'yg', 'mayoritas', 'butuh', 'bantu', 'subsidi']"
330,"['dicover', 'bpjskes', 'rs', 'total', 'biaya', 'dr', 'premi', 'yg', 'sdh', 'bayar', 'adalagi', 'sodara', 'sy', 'salin', 'dicover', 'bpjskes', 'biaya', 'dr', 'premi', 'yg', 'bayar', 'biaya', 'kls', 'ckup', 'bayar', 'butuh', 'dasar', 'kluarga', 'sy', 'mudah', 'program', 'lanjut', 'terima', 'kasih']"
331,"['betapa', 'masyarakat', 'yg', 'bantu', 'program', 'jamin', 'sehat', 'tunda', 'sentimen', 'perspektif', 'putar', 'harap', 'program', 'lanjut', 'sesuai', 'amanat', 'konstitusi', 'lindung', 'segenap', 'bangsa', 'indonesia']"
332,"['mnrt', 'sy', 'program', 'bpjs', 'bantu', 'masy', 'yg', 'butuh', 'wujud', 'gotong', 'royong', 'masif', 'dr', 'segmen', 'masyarakat', 'dgn', 'bantu', 'perintah', 'didftrkan', 'kantor', 'yg', 'masy', 'gol', 'mendftr', 'mandiri', 'sesuai', 'mampu', 'yg', 'gol', 'tdk', 'didftrkan', 'pempusatpemda', 'prinsip', 'iur', 'adl', 'hukum', 'bilang', 'yg', 'kaya', 'bantu', 'yg', 'miskin', 'yg', 'bantu', 'yg', 'tdk', 'yg', 'sehat', 'bantu', 'yg', 'sakit']"
333,"['langsung', 'program', 'jkn', 'rasa', 'masyarakat', 'banyakmari', 'gotong', 'royong']"
334,"['wajar', 'sj', 'sesuai', 'iur', 'iur', 'imbang', 'dg', 'manfaat', 'sedia', 'program', 'jamin', 'sehat', 'manfaat', 'langit', 'iur', 'atap']"
335,"['alhamdulillah', 'bantu', 'program', 'jkn', 'masyarakat', 'bantu', 'keluarga', 'sakit', 'kaka', 'sy', 'lahir', 'operasi', 'sc', 'cover', 'bayar', 'peser', 'terimakasih', 'bpjs', 'sehat']"
336,"['terima', 'kasih', 'jelas', 'manfaat', 'yg', 'blm', 'rasa', 'manfaat', 'tolong', 'objektif', 'masyarakat', 'cerdas', 'terima', 'kasih', 'bpjs']"
337,"['fair', 'sih', 'kalo', 'naik', 'iur', 'sekian', 'gak', 'dengerdenger', 'bpjs', 'sulit', 'bayar', 'rs', 'waktu', 'rs', 'butuh', 'cash', 'flow', 'lancar', 'layan', 'pasien', 'kasihan', 'kalo', 'udah', 'layan', 'pasien', 'bayar', 'sendat', 'kelas', 'kalo', 'gak', 'bayar', 'kelas', 'tinggal', 'turun', 'kelas']"
338,"['terima', 'kasih', 'bpjs', 'sehat', 'layan', 'hari']"
339,"['program', 'bpjs', 'bantu', 'rasa', 'sendri', 'manfaat']"
340,"['fixkelas', 'mandiri', 'subsidi', 'ngak']"
341,"['alhamdulillah', 'bijak', 'yg', 'keluar', 'perintah', 'baik', 'alhamdulillah', 'bpjs', 'obat', 'ayah', 'bantu', 'keluar', 'biaya', 'sih', 'ngambil', 'sisi', 'positif', 'kalo', 'sehat', 'alhamdulillah', 'bantu', 'sakit', 'yg', 'bantu', 'niat', 'rezeki', 'yg', 'allah', 'amal', 'tebar', 'manfaat']"
342,"['wajar', 'naikbiaya', 'obat', 'jg', 'skrg', 'mahaladek', 'sy', 'operasi', 'tiroid', 'pake', 'bpjs', 'ga', 'bayar', 'sekalipdhal', 'klo', 'bayar', 'puluh', 'juta']"
343,"['semangat', 'bpjs', 'sehat', 'terima', 'kasih', 'bantu', 'masyarakat', 'yg', 'obat']"
344,"['waktu', 'tua', 'serta', 'jkn', 'operasi', 'batu', 'empedu', 'yg', 'tdk', 'jamin', 'sehat', 'biaya', 'puluh', 'juta', 'jkn', 'kis', 'bpjs', 'sehat', 'biaya', 'rp', 'gile', 'bet', 'dah', 'bpjs', 'sehat', 'mantap', 'djiwaa', 'terimakasih', 'bpjs', 'sehat', 'moga', 'program', 'jalan', 'masyarakat', 'yg', 'rasa', 'manfaat']"
345,"['program', 'mulia', 'perintah', 'ringan', 'bantu', 'saudara', 'gotong', 'royong', 'jadi', 'masyarakat', 'indonesia', 'sehat']"
346,"['terima', 'kasih', 'bpjs', 'sehat', 'layan', 'bantu']"
347,"['bayar', 'iur', 'bpjs', 'batu', 'yg', 'sakitsemoga', 'sehat', 'amal', 'ibadah', 'semuaaamiinjadi', 'jgn', 'ragu', 'bayar', 'premi', 'bpjs', 'sehat']"
348,"['terimakasih', 'bpjs', 'sehat', 'kalo', 'gak', 'bpjs', 'mgkn', 'keluarga', 'pusing', 'mikirin', 'biaya', 'rumah', 'sakit', 'yg', 'oprasi', 'cancer', 'bibi', 'tahun', 'yg', 'moga', 'bpjs', 'sehat', 'depan']"
349,"['perintah', 'bpjs', 'sehat', 'bantu', 'masyarakat', 'indonesia', 'jamin', 'sehat', 'mahasiswa', 'magang', 'salah', 'rsup', 'pasien', 'bpjs', 'beda', 'layan', 'dgn', 'pasien', 'umum']"
350,"['moga', 'bpjs', 'lanjutt']"
351,"['syukur', 'kelas', 'subsidi', 'bayar', 'tetep', 'tuju', 'tu', 'ama', 'mba', 'ros', 'fahmi', 'iur', 'kelas', 'sama', 'nnti', 'klu', 'kelas', 'biar', 'serta', 'yg', 'mikir', 'bayar', 'bayar', 'pake', 'asuransi']"
352,"['naik', 'utk', 'sengsara', 'rakyat', 'betapa', 'yg', 'manfaat', 'layan', 'bpjs', 'yg', 'mahal', 'biaya', 'mari', 'gotong', 'royong']"
353,"['alhamdulillahadik', 'sy', 'prnh', 'operasi', 'sc', 'jamin', 'smua', 'klo', 'byr', 'pasti', 'ga', 'mampu', 'smga', 'program', 'byk', 'yg', 'bantu', 'terima', 'kasih', 'bpjs', 'kes']"
354,"['bpjs', 'sehat', 'sesuai', 'gotong', 'royong', 'paksa', 'pilih', 'kelas', 'dsni', 'yg', 'daftar', 'kelas', 'yg', 'daftar', 'kelas', 'yg', 'iur', 'subsidi', 'perintah', 'subsidi', 'iur', 'kelas', 'perintah', 'gratis', 'iur', 'masyarakat', 'yg', 'mari', 'bantu', 'gotong', 'royong', 'tolong', 'terimakasih', 'bpjs', 'sehat']"
355,"['mari', 'paham', 'regulasi', 'gotong', 'royong', 'tolong']"
356,"['warga', 'pliss', 'paham', 'regulasi', 'perintah', 'udah', 'banget', 'loh', 'saudara', 'bantu', 'program', 'jt', 'duduk', 'iur', 'jkn', 'bayar', 'negara', 'kaya', 'kayak', 'gak', 'bantu', 'yg', 'cuci', 'darah', 'kemoterapi', 'negara', 'hadir', 'utk', 'masyarakat', 'penuh', 'butuh', 'dasar', 'sehat', 'mari', 'gotong', 'royong', 'bantu', 'indonesia', 'semangat']"
357,"['alhamdulillah', 'manfaat', 'ikhlas', 'bantu', 'sumbang', 'program', 'mulia']"
358,"['terima', 'kasih', 'bpjs', 'kesehatandengan', 'gotong', 'royong', 'tolong']"
359,"['nggak', 'asuransi', 'cover', 'pasang', 'ring', 'jantung', 'bayar', 'nggak', 'pake', 'wawancara', 'nggak', 'pake', 'mcu', 'tau', 'bpjs', 'nggak', 'pake', 'ribet', 'daftar', 'kk', 'ktp', 'no', 'rek', 'bank', 'bayar', 'udah', 'dipake', 'daebak', 'bener']"
360,"['perintah', 'bantu', 'langsung', 'progam', 'jknkis', 'masyarakat', 'serta', 'jknkis', 'mari', 'gotong', 'royong', 'langsung', 'program', 'iur', 'bpjs', 'banding', 'asuransi', 'manfaat', 'yg', 'sehat']"
