,Comment,english_translate,polarity,Label
293,kok kyak film gundala jadi takut,how come it looks like the gundala film is so scared,0.0,1
295,proyek dan bisnis yang menggiurkan,lucrative projects and businesses,0.0,1
296,seluruh anggota dpr dan dprd harus mewakili sebelum seluruh rakyat indonesia untuk uji vaksin covid,all members of the dpr and dprd must represent before all the people of Indonesia to test the covid vaccine,0.0,1
297,kami butuh makan bukan butuh vaksin,"we need to eat, not vaccines",0.0,1
302,dicina ada yang denger ga semilyar penduduknya sudah divaksin,There are those who hear that not a billion people have been vaccinated,0.0,1
303,sembuh sendiri ko yaqin saya,how come I recover by myself,0.0,1
304,hasil ujinya mana kok tidak dipublikasikan,how come the test results are not published,0.0,1
305,bisnis bisnis terus pnykit biasa aja di besarkan,"business business continues to grow, just be enlarged",0.0,1
309,mari buka chanel fe agar tau tentang semua itu who saja mengatakan vaksin tidak akan pernah bisa menyembuhkan ko malah disini diperluaskan hmm,let's open the Fe channel to know about all that who just said vaccines could never heal how come it's expanded here hmm,0.0,1
315,presidennya aja dulu di vaksin china aja tanpa vaksin bisa ngurangin wabah corona,"just the president, just the Chinese vaccine without the vaccine can reduce the corona outbreak",0.0,1
320,hei wakil rakyat kami menghormati kalian untuk di prioritaskan disuntik vaksin corona monggo,"hey people's representatives, we respect you to prioritize the injection of the Monggo corona vaccine",0.0,1
322,saya tidak mau vaksin walaupun saya di bayar,I don't want the vaccine even though I paid for it,0.0,1
324,vikinisasi anti vaksinisasi,vaccinization anti vaccination,0.0,1
326,duit lagi prettt,money again prettt,0.0,1
329,persetaaaaaaan dengan covid sudaaaah habiiiiiis masaaaa covid yang demooo ga ada yang mati karena covid,leeeeeeeeeeeeeeeeeeeeeee Covid demooo no one dies because of covid,0.0,1
331,gausah vaksin dari demo sudah terbukti corona gak ada,no vaccine from the demo has been proven that there is no corona,0.0,1
333,makan sendiri sama kalian vaksin globalis kami ngak butuh vaksin kami butuh kebebasan,eat alone with you globalist vaccines we don't need vaccines we need freedom,0.0,1
334,jangan kn buat vaksin buat beli beras aja megap,don't make a vaccine to buy rice just gasp,0.0,1
335,isu hoax kok di vaksin waras kah ini,the hoax issue in this sane vaccine,0.0,1
338,kalau bisa jangan menambah masalah lagi,if possible do not add to the problem again,0.0,1
339,saya sekeluarga menolak divaksin ngerti,"my family and I refuse to be vaccinated, understand",0.0,1
340,bodo amatan,Oops!,0.0,1
343,butuh makan bukan masker atau vaksin up up up,need to eat not a mask or a vaccine up up up,0.0,1
347,ini masalahnya vaksinnya disuntik tidak kalo di suntik tidak mauuuuu,This is the problem if the vaccine is injected or not if I don't want to,0.0,1
348,mau di bayar gamau saya di vaksin,want to pay for my gamu in the vaccine,0.0,1
350,mei pfizer bill gates biontech jerman sudah mengumumkan akhir tahun tpt di januari akan bermain dizona perdagangan vaksin dunia amerika jerman dan kita wajib beli dr si bapak kita bill gates,mei pfizer bill gates biontech germany has announced the end of the year tpt in january will play in the zone of world vaccine trade america germany and we have to buy from our father bill gates,0.0,1
351,itu vaksin apa cip pak jangan sampei seluruh rakyat indonesia di monitoring gerak geriknya,"What is a vaccine, sir, don't let all the people of Indonesia monitor their movements",0.0,1
352,masa tahun tahun ini lah harus nya sian orang yang kena covid,during the year this year must be the one who got covid,0.0,1
356,kemarin katanya november ya,yesterday he said it was november,0.0,1
357,vaksin jatah saya boleh tukar dengan beras kilo kah,I can exchange the rationed vaccine with kilo rice,0.0,1
358,kenapa ga ada perusahaan yang mau meneliti nasi kucing dan jamu yang terbukti miliki berjuta manfaat,why doesn't any company want to research cat rice and herbal medicine which have proven to have millions of benefits,0.0,1
360,atasi pandemi tanpa vaksin tonton cahnnel fe chanel eps,overcome pandemic without vaccine watch cahnnel fe chanel eps,0.0,1
361,kowe wae seng di vaksin jok,kowe wae zinc in the upholstery vaccine,0.0,1
364,obat corona ya pilkada,the corona medicine is the regional election,0.0,1
365,pemimpin laknat alloh,leader of the curse of Allah,0.0,1
366,vaksine dinggo rika kono joj,vaccines dinggo rika kono joj,0.0,1
367,hore ada celah korupsi ni,"hooray, there is a gap in this corruption",0.0,1
368,indonesia jaya,victorious Indonesia,0.0,1
369,covid akan hilang jika rapid test dan swab test dihentikan,Covid will disappear if the rapid tests and swab tests are stopped,0.0,1
370,tionggggkooooook,tionggggkooooook,0.0,1
374,buat yang sehat aja jangan di vaksin ya pak,"just don't vaccinate it, sir",0.0,1
376,bisnis lagii,business again,0.0,1
379,kenapa relawan dpr dan mpr kan wakil rakyat,why the dpr and mpr volunteers are people's representatives,0.0,1
380,cristian ronaldo,cristian ronaldo,0.0,1
381,vaksinnya buatan cina,the vaccine is made in china,0.0,1
385,pulihkan ekonomi masyarakat pak daripada kami gelap mata,"Restore the economy of the people, sir, than we are darkening our eyes",0.0,1
389,produksi apa beli pak,"what production to buy, sir",0.0,1
390,presiden berharap,the president hopes,0.0,1
391,kangen sekolh,miss school,0.0,1
396,china kebetulankah,China happened,0.0,1
398,kenapa bukan dari indonesia vaksin covid ko malah dari negara orang lain yang di uji coba,"why is it not from Indonesia, the covid vaccine, ko instead, from another country that is being tested",0.0,1
399,viva le dimmo bordirs fax income,viva le dimmo embroiderys fax income,0.0,1
401,jangan lupa lapangan kerja pengangguran jadi bnyak gara virus koped ini,Don't forget that there are lots of unemployed jobs because of this Koped virus,0.0,1
404,ngoni jo pake vaksin kita nyanda,ngoni jo using our vaccine,0.0,1
405,pak jokowi makin kurus,Pak Jokowi is getting thinner,0.0,1
406,pengen mudik saya woyy,want my homecoming woyy,0.0,1
412,bareng ma ya,with mom,0.0,1
419,indonesis tidak punya pekerjaan selain kovid aja bisnisnya haaaaaa,"Indonesians do not have a job apart from Kovid, its business haaaaaa",0.0,1
420,ih kacamatanya berembun di menit lihat deh,ih the glasses are dewy at the minute see,0.0,1
422,vaksin es buah,fruit ice vaccine,0.0,1
425,tiongkok apa china,china what china,0.0,1
427,akankah seperti esemka,will be like esemka,0.0,1
430,mau pemilihan presiden calek gubernur dll aku selalu golput,"want the presidential election, candidate for governor, etc. I always abstain",0.0,1
434,kenapa masih nanggep china sih,Why are you still responding to China?,0.0,1
435,yah gak tembus juta dong nanti kalo ada vaksin,"well, the million will not go through later if there is a vaccine",0.0,1
436,ada yang mao di vaksin kaga,there are those who are still vaccinated,0.0,1
437,silahkan yang ge dluan aja,please just ask,0.0,1
441,nggak ada yang ribut halal haram neh,"no one is noisy, halal haram",0.0,1
445,yang gak mau di vaksin silahkan pakai kalung ecalyptus buatan mentan atau beli jamu hadi pranoto aja noh,"those who don't want to be vaccinated, please use an ecalyptus necklace made by Mentan or just buy the hadi pranoto herbal medicine",0.0,1
446,made in cina bukan,made in china instead,0.0,1
449,pak menkes gak ikut kunjungan nih,"Sir, the Minister of Health didn't join the visit",0.0,1
450,yang benar yang mn nih yang dr china ato yang merah putih,the correct one is from China or the red and white one,0.0,1
452,seperti nya skrng presiden nya doank yang kerja terus mentri mentri nya pada kemana tidur,Like now the president does the work and the minister continues to go where to sleep,0.0,1
455,janji lagi,promise again,0.0,1
456,indonesia dalam rekayasa kehidupan,Indonesia in life engineering,0.0,1
458,vaksin harganya jta warga yang ga di vaksin ga boleh beraktifitas diluar wkwkwkwkk vaksinnya cuma bertahan bulan terus harus di vaksin lagi sampai hilang covid di negara ini wkwkwkk,Vaccines cost people who are not vaccinated can not do activities outside the vaccines only last for months and must be vaccinated again until Covid disappears in this country wkwkwkk,0.0,1
460,suka baju bapak ada yang tau jenis bajunya,"like your clothes, someone knows the type of dress",0.0,1
464,smadav kan bisa matiin virus,Smadav can kill viruses,0.0,1
468,tanda tanya,question mark,0.0,1
475,geyo,geyo,0.0,1
476,anjay januari,anjay january,0.0,1
478,kemenkesnya kemana,kemenkesnya where,0.0,1
479,ada vaksin kemiskinan gak pak yang bertambah di saat pandemi batasi impor pak yang membunuh usaha mikro ukm lihat masarakat menjerit batin pak,"There is a poverty vaccine, sir, which increased during the pandemic, limit imports, sir, which kills SME micro businesses, see the community scream inside sir",0.0,1
480,bu ningsih sudah jual tuh obat herbalnya,Mrs. Ningsih has sold the herbal medicine,0.0,1
481,mudah mudahan gak php ya pak nanti seperti obat covid dari unair yang gaada kelanjutannya,"hopefully not php, sir, it will be like the covid medicine from UNAIR which doesn't have any continuation",0.0,1
482,pakdeeeeee,pakdeeeeee,0.0,1
483,mudahan tidak seperti mobil esemka xixixi,hopefully not like the xixixi esemka car,0.0,1
485,reziem dl divaksin mau ga,reziem dl whether or not vaccinated,0.0,1
486,aparat yang pakai kendaraan bodong dan penunggak pajak kendaraan jangan lupa ditindak,officials who use bulging vehicles and vehicle tax arrears don't forget to be prosecuted,0.0,1
491,kumaha sia weh jok lah,kumaha sia weh seat,0.0,1
493,ko suntik sih,how come it's injection,0.0,1
494,nek coyo,Grandma coyo,0.0,1
499,auwwooooooooooooooooooooooooooooooo heheuyyyyyy deuuuhhhhhhhhh,auwwooooooooooooooooooooooooooooooo heheuyyyyyy deuuuhhhhhhhhhh,0.0,1
504,efek samping nya apaan nihh,What's the side effect?,0.0,1
506,covid du yu redi tu lus,covid du yu redi tu lus,0.0,1
507,batu akiml,akiml stone,0.0,1
513,salam anak negri,greetings country children,0.0,1
517,vaksin dari rusia sudah ada,the vaccine from Russia already exists,0.0,1
518,nanti bayar ga njing vaksinnya,pay later without carrying the vaccine,0.0,1
520,prank kaga jay ah pinokio,prank jay ah pinocchio,0.0,1
522,tolong cebong tunjukan loyalitasny kepada rejim dengan cara sukarela jadi kelinci percobaan,Please show the tadpoles loyalty to the regime by volunteering to become guinea pigs,0.0,1
524,vaksin jajalen nk anggota dpr ndisek,jajalen vaccine nk dpr ndisek member,0.0,1
525,dalam piling kapan pademi kopit berakhir pak jokowi,"In piling when the Pademi Kopit ended, Pak Jokowi",0.0,1
526,ngutang lagi gak pak,"owe it again, sir",0.0,1
527,eeheeemm napas bentar ane,eeheeemm my short breath,0.0,1
528,jangan seperti esemka,don't be like esemka,0.0,1
529,nitip sendal kalo dah rame kabarin,"get the sandals when it's crowded, tell me",0.0,1
533,mungkin bisa di tambahkan prioritas harus mendapatkan vaksin dan yang belum boleh mendapatkan vaksin dengan keterangan,maybe you can add priority to having to get vaccines and those who have not been allowed to get vaccines with information,0.0,1
538,kok suara kakak berubah,how come your voice changed,0.0,1
539,vaksin sino vak,sino vak vaccine,0.0,1
540,corona ditemukan covid,Covid found corona,0.0,1
545,vaksin kpan dibuat bulan juni,Kpan vaccine made in June,0.0,1
547,kapan vaksin corona di temukan tanya bill gates,"When was the corona vaccine discovered, ask Bill Gates",0.0,1
549,sulim,sulim,0.0,1
552,bikin tutor cara bkin gnian dong bg soalnya aku mau bkin tgs sklhan,make a tutor how to do it how come I want to know how to do it now,0.0,1
553,mengapa orang menguap bisa menular,why people yawn is contagious,0.0,1
557,kangen amat yang suara berat,miss the deep voice,0.0,1
558,bahas tentang paradox dong min,discuss about paradox dong min,0.0,1
559,pengisi suaranya,the voice actor,0.0,1
560,kenapa kita bisa cegukan tolong dibalas,why do we get hiccups please reply,0.0,1
561,bang bikin konten cara biar bisa bangun pagi jam bang,"bro, make content how to get up in the morning at bang",0.0,1
563,ugekr,ugekr,0.0,1
564,kok pemerintah bilang awal sudah vaksinasi,how come the government said vaccination was already in the beginning,0.0,1
565,covid sudah ga ada soale sudah sekarang,Covid is not there now,0.0,1
566,covid itu apa sih,what is covid,0.0,1
567,sekarang jangan neko dulu vaksin flu saja belum ditemukan,"now, don't worry, the flu vaccine hasn't been found yet",0.0,1
568,disini bilangnya juni tapi kok jokowi bilang vaksin sudah bisa diedarkan januari,Here it says June but how come Jokowi said the vaccine could be distributed in January,0.0,1
570,coba promosi di tiktok min lebih mudah viral disana soalnya,"try promotion on TikTok admin, it's easier to go viral there",0.0,1
572,demi menyelamatkan ekonomi negri ini marilah kita menganggap bahwa pandemi corona virus sudah berlalu dari indonesia,"in order to save the country's economy, let us assume that the corona virus pandemic has passed from Indonesia",0.0,1
574,suaranya ganti,the voice changes,0.0,1
575,bahas macam virus dan sejarahnya dong min,"discuss the kinds of viruses and their history, bro",0.0,1
582,gimana caranya jadi bagian dari neuron pengen banget jadi presentasi voice gitu,How do you become a part of a neuron so you want to be a voice presentation,0.0,1
583,come on youtube do something for this channel,come on youtube do something for this channel,0.0,1
584,terus berkarya kak,continue to work sis,0.0,1
587,collab sama kok bisa bg,how come collab is the same,0.0,1
590,ada aja yang dislike,there are just dislike,0.0,1
593,min bahas ttg dejavu dong,"Min, discuss about Dejavu please",0.0,1
597,terimakasih infonyaa minn semangat terus uploadnyaa,"Thank you for the info, admin, keep on uploading it",0.0,1
601,kak mau ikutan jadi pengisi suara boleh ga,"Sis, can I join in as a voice actor",0.0,1
603,wahhhh,wahhhh,0.0,1
604,learning nih,learning here,0.0,1
608,hmmmm,Hmmmm,0.0,1
610,ditunggu premier nya,awaited its premiere,0.0,1
611,papa,papa,0.0,1
612,papa,papa,0.0,1
614,yo ra kenal who orang mana itu,yo ra know who that person is,0.0,1
618,kalo yang punya hipertensi dan alergi antalgin bisa di vaksin tidak tolong yang tahu dijawab ya,"if those who have hypertension and antalgin allergies can be vaccinated, please answer, yes",0.0,1
620,hanya untuk di china toh sipp lah klw begitu,only for in China anyway,0.0,1
622,virus china dari kelelawar ke manusia kata china,Chinese virus from bats to humans the word china,0.0,1
623,virus china katanya beda dg virus italy menurut china,the Chinese virus is said to be different from the Italy virus according to China,0.0,1
625,kumaha sia we yeu nyatu ge sarua modar,kumaha sia we yeu merge ge sarua modar,0.0,1
626,ngomong apaan sih,What are you talking about?,0.0,1
627,kompas tv,tv compass,0.0,1
630,tenane ngapusi duso lo,tenane rubbing on your duso,0.0,1
631,who modol,who modol,0.0,1
632,pesta lagi tidak usa pake masker sudah ad vaksinnya,"the party is no longer using a mask, there is already a vaccine",0.0,1
633,stop dana covid pasti covid diindonesia hilang,"stop Covid funds, definitely Covid Indonesia is gone",0.0,1
635,halah gak ada amplop,halah no envelope,0.0,1
636,yah khusus untuk negara tiongkok saja soalnya beda negara beda cuaca,"yeah specifically for the Chinese country, the problem is that the country is different from the weather",0.0,1
637,who itu siapa yang bisa jawab tulis di kolom komentar,"who can answer, write in the comments column",0.0,1
639,mana neh universitas yang sesumbar sudah menemukan vaksin nya hayo muncul tolong jelaskan,"Where's the university that claims to have found the vaccine, hey, please explain",0.0,1
643,halal gak ya ntar ada yang tanya,"halal or not, then someone will ask",0.0,1
644,banyak lah bertobat sebelum ajal menjemput sudah jangan memainkan corona,a lot of repentance before death picks up don't play corona,0.0,1
647,jihad lah ke china,jihad to China,0.0,1
651,sudah november,already november,0.0,1
652,hayo luh pada dsuntikin,hello luh to dsuntikin,0.0,1
654,waw,waw,0.0,1
656,anak kost dapet vaksin covid ngk hello pemerintah,"boarding house children get the covid vaccine, hello, the government",0.0,1
658,pesawat terbang lewat,an airplane passes by,0.0,1
662,cpsxzk xqzghq hgpzhx xcmevn paazqw,cpsxzk xqzghq hgpzhx xcmevn paazqw,0.0,1
664,orakas di vaksin covid,orakas in the covid vaccine,0.0,1
666,dari negara mana dan kapan di coba nya pada manusia hah,from which country and when did it try on humans huh,0.0,1
671,ya hbis dunk detektor covid,yes hbis dunk covid detector,0.0,1
675,pemerintah vaksin di rilis pada bulan november masyarakat yang meninggal pas bulan oktober be like am joke to you,The government vaccine was released in November. People who died in October be like am joke to you,0.0,1
676,tiba seperti film contagion,arrived like a contagion movie,0.0,1
678,temen,friend,0.0,1
680,kok pakai vaksin itu yang sudah sembuh minum kratindeng kah ini penyakit ada apa enggak sih,"how come using the vaccine that has been cured drink kratindeng, is this a disease or not",0.0,1
681,november desember januari pebruari maret april mei juni juli agustus september oktober,November December January February February April May May June July August September October,0.0,1
685,numpang nyimak aja dah,just listen to it,0.0,1
687,corona tidak bakal hilang kalau manusia keluar rumah mulu kalo tidak keluar rumah yang kena corona jadi sedikit lama corona hilang paham hanya itu cara corona hilang tanpa vaksin,Corona will not disappear if humans leave the house if they don't leave the house who gets the corona so it takes a while for the corona to disappear.,0.0,1
692,siapa prioritas yang ditunggu tunggu pemirsa adalah siapa aja yang akan diinjeksi vaksin,the priority that the viewers are waiting for is who will be injected with the vaccine,0.0,1
694,kalung anti korona gimana kabar abal semua lom teruji sudah dibeli koplak,anti-corona necklace how are you doing all the tested lom already bought by koplak,0.0,1
696,pemerintah memastikan ketersediaan vaksin covid november ini who blg vaksin ditemukan paling cepat maret who amerika china dan semua negara bisa kalahkan oleh indonesia wah kalau gini kita bisa menguasai dunia wkwkwkwk halu lu ngentod,"The government ensures the availability of the covid vaccine this November, who hasn't the vaccine found the fastest March who, America, China and all countries can be defeated by Indonesia.",0.0,1
697,kami butuh uang makan tuk lanjutkan hidup,we need money to eat to continue living,0.0,1
704,covid gadul,Covid Gadul,0.0,1
705,hey sadar hey,hey realized hey,0.0,1
707,hadehhhhhh,hadehhhhhh,0.0,1
709,katanya januari wkwkw,he said january wkwkw,0.0,1
710,jatahku di ganti uang aja pak,"I just replaced my money, sir",0.0,1
711,katanya desember katanya november gimana sih ajg,he said December he said what the hell is November,0.0,1
714,yaallah semoga tahun depan wabah ini hilang ya allah kami semua kangen sama sekolah sekali lagi semoga virus covid sudah hilang tahun depan amin,"yeah, hopefully next year this epidemic will disappear, oh allah, we all miss school again, hopefully the covid virus will disappear next year amen",0.0,1
715,in shaa allah kami dari malaysia juga menyokong semoga indonesia berjaya mengeluarkan vaksin dapat menyelamatkan saudara kami di indonesia amiinn,"in shaa allah we from Malaysia also support, hopefully Indonesia will succeed in issuing vaccines to save our brothers in Indonesia amiinn",0.0,1
716,semoga kali ini nggak hoax,I hope this time it's not a hoax,0.0,1
717,majulah tanah airku,go forth my homeland,0.0,1
718,yang dislike ga mau sembuh bro ya dari pandemi ini,those who dislike don't want to recover from this pandemic,0.0,1
720,alhamdulillah pademi segera berlalu,Alhamdulillah Pademi will soon pass,0.0,1
721,amin semoga lancar,"amen, hopefully it goes well",0.0,1
722,amin saya ga pengen ga konsen terus bergantung terus tahi lo virus korona,"Amen, I don't want to be concerned about continuing to depend on your faeces on the corona virus",0.0,1
726,yesss abis di vaksin semprot semua pake disenfiktan,"After all the spray vaccines, all of them use disenfiktan",0.0,1
728,ya allah tolonglah semua dunia tolong hapus corona,yes allah help all the world please remove corona,0.0,1
729,presiden tolong cepat vaksinx rakyat butuh kerja makan sudah bulan kerja oknum pol selalu pake pasal covids tuk mrampas barang dagangan rakyat,"president please hurry vaccines, people need work, it's been months of work, police officers always use the Covids article to seize people's merchandise",0.0,1
731,semoga bisa selesai pandemi virus covid ini amin,hopefully this can finish the covid virus pandemic amen,0.0,1
734,bissmillah semoga jadii,bissmillah hopefully it will be done,0.0,1
735,insha allah pak jokowi semoga vaksin nya jadi dan bisa kembali beraktivitas terima kasih pak jokowi salam dari pekalongan,"Insha Allah, Mr. Jokowi, I hope the vaccine is finished and you can return to your activities, thank you Mr. Jokowi greetings from Pekalongan",0.0,1
738,borong dah vaksin itu biar tidak habis habis corona ini,Borong bye the vaccine so that the corona doesn't run out,0.0,1
740,alhamdulilah vaksin sudah bisa keluarkan dan bisa vaksinkan ke seluruh warga indonesia tapi kena saya salah satu karyawan brsud subang dengan tugas pengangkut sampahnya dan teman saya di pemulasaraan jenazah masih belum mendapatkan insentipnya,"Alhamdulillah, the vaccines have been dispensed and can be vaccinated for all Indonesian citizens, but I got to know one of the employees of Brsud Subang with his garbage collection duties and my friend in the review of the corpse still had not received the incentives",0.0,1
750,semoga sebelum bulan januari vaksin covid sudah selesai amin,"I hope that before January the Covid vaccine will be finished, Amen",0.0,1
753,cepet ya allah kangen keluar ama temen kangen malming kangen soljum,"Hurry up, Allah, I miss you out with my friend, Miss Malming, Miss Soljum",0.0,1
756,mudah mudahan abis disuntik vaksin ini sholat berjamaah bisa shohu sufufakum rapatkan saf amin,"hopefully after this vaccine is injected, pray in congregation can shohu sufufakum get the saf amen",0.0,1
761,semangat pa jokowi,the spirit of pa Jokowi,0.0,1
764,fase ke tiga alhmdulillah,"the third phase, thank God",0.0,1
767,januari diproduksi massal dibagikan bulan juli,January mass produced distributed in July,0.0,1
769,di dunia sedang membicarakan vaksin yang lolos uji coba fase ke alhamdulillah indonesia sudah di fase ke,"The world is talking about vaccines that have passed the phase trial, thank God, Indonesia is already in the second phase",0.0,1
770,amiiiiinnnnn,amiiiiinnnnn,0.0,1
771,percepatlah vaksin itu perbanyaklah permbudahlah kami bukan hanya menunggu tapi membutuhkan mulai dari kalangan menengah kebawah bukan dari kalangan atas kelangit,"Hurry up the vaccine, make it easier for us not only to wait, but we need to start from the middle to lower class, not from the upper class",0.0,1
772,bismilah semoga vaksin ini bisa amin robb,"please, hopefully this vaccine can be amen robb",0.0,1
777,secepatnya lah jngan taun depan,as soon as possible do not come next year,0.0,1
778,finally,finally,0.0,1
779,we re about to do the online school til yeeeee,we re about to do the online school til yeeeee,0.0,1
782,alhamdulillah ya allah,thank God,0.0,1
783,yessss ayo indonesia maju,yessss let's go forward Indonesia,0.0,1
784,alhamdulillah uda ada vaksin nya semoga ini ada jawaban nya,"Alhamdulillah there is a vaccine, hopefully there is an answer",0.0,1
787,amin amin amin ya riobal alamin semoga cepat berakhir pandemi ini,amen amen amen ya riobal ​​alamin I hope this pandemic will end soon,0.0,1
788,kg emil,kg emil,0.0,1
790,semoga vaksinnya dipercepat,I hope the vaccine is accelerated,0.0,1
792,tingkatkan terus demi rakyat,continue to increase for the sake of the people,0.0,1
795,amiin,amen,0.0,1
796,allhamdulilah mudahan mudahan wort it,allhamdulilah hopefully wort it,0.0,1
797,alhamdulillah,Alhamdulillah,0.0,1
798,amin ya rabbal al amin,amen ya rabbal al amen,0.0,1
800,semoga berjalan dengan baik aamiin,hope it goes well aamiin,0.0,1
803,amiiiiiiin,amiiiiiiin,0.0,1
804,amin,amen,0.0,1
805,bismillah,bismillah,0.0,1
808,amiin amiiin,amen amen,0.0,1
810,makasih bp jokowi amiinnn,Thank you Mr. Jokowi Amiinnn,0.0,1
811,semoga bukan hoax,I hope it's not a hoax,0.0,1
812,aminnn semoga secepatnya vaksinasi,Aminnn I hope the vaccination as soon as possible,0.0,1
815,semoga vaksin nya cepat selesai,I hope the vaccine will finish soon,0.0,1
817,alhamdulilah kalau bisa secepatnya,Thank God if possible as soon as possible,0.0,1
818,semoga lancar,I hope all goes well,0.0,1
819,alhamdulillah habis lah kau korona,"Alhamdulillah, you are finished Corona",0.0,1
820,iya,yes,0.0,1
827,semoga bukan haoks yak,I hope it's not a haoks,0.0,1
830,alhamdulillah,Alhamdulillah,0.0,1
831,alhamdulillah,Alhamdulillah,0.0,1
834,alhamdulillah,Alhamdulillah,0.0,1
835,semoga dipercepat,hopefully accelerated,0.0,1
837,vaksin hadir mempekuat tubuh kita,the vaccine is present to strengthen our body,0.0,1
844,hidup presiden jokowi,President Jokowi's life,0.0,1
853,bismillah,bismillah,0.0,1
854,optimis terus pak semangat,"optimistic, keep up the spirit",0.0,1
857,zona merah prioritaskan uji coba vaksin sinovac,Red Zone Prioritize Sinovac Vaccine Trials,0.0,1
862,semangat kondisi yah pak supaya berat badannya naik berdoa terus pak,"spirit of condition, sir, so that his weight increases, keep praying sir",0.0,1
867,semoga aja tidak hoax,I hope it's not a hoax,0.0,1
868,alhamdulillah,Alhamdulillah,0.0,1
869,asiaappppp,asiaappppp,0.0,1
870,alhamdulillah syukur lahh,"Alhamdulillah, thank God",0.0,1
873,wiih vaksin merah putih,with red and white vaccine,0.0,1
875,terima kasih pak jokowi,Thank you Mr. Jokowi,0.0,1
876,alhamdulillah,Alhamdulillah,0.0,1
880,percaya aja dah,just believe it,0.0,1
882,semoga az kali ini ga meleset semoga az ini tidak jadi jejak digital yang meroket berikutnya,I hope Az doesn't miss this time I hope this AZ won't be a digital trail that will rocket the next time,0.0,1
885,semoga vaksinya tidak seperti esemka yang tadinya dari tahun ke tahun dan dari tahun ke tahun terus di resmikan dan sekarang kemana,"I hope the vaccination is not like Esemka, which was from year to year and from year to year it continues to be inaugurated and now where",0.0,1
886,alhamdulillah,Alhamdulillah,0.0,1
887,baguuuus pak jokowi,baguuuus Pak Jokowi,0.0,1
888,alhamdulillah,Alhamdulillah,0.0,1
891,sabar segera ada tuh vaksinnya jaga kesehatan diri guys,"be patient, there is a vaccine, take care of yourself, guys",0.0,1
895,pengen cepat cepat kakak saya diprotes ortu murid gara gara pjj,My brother wanted to hurry and get protested by the students' parents because of the PJJ,0.0,1
897,terus berkarya semangat,keep working enthusiastically,0.0,1
898,lanjutkan,continue,0.0,1
899,terima kasih para virolog dan peneliti,thank you virologists and researchers,0.0,1
900,salut pada orang seperti jonas edward salk penemu vaksin,"Salute to people like Jonas Edward Salk, the inventor of the vaccine",0.0,1
901,yang mau di vaksin like yang tidak mau di vaksin dislike,those who want the vaccine like those who don't want the vaccine are dislike,0.0,1
903,semangat yah neuron buat videonya semoga channel ini bisa berkembamg,"The excitement of neurons for the video, hopefully this channel can grow",0.0,1
904,tahun ini pasti dapat amin,this year definitely got amen,0.0,1
908,semoga vaksin corona bisa terselesaikan secepat mungkin,I hope the corona vaccine can be resolved as soon as possible,0.0,1
910,sputnik vaksin rusia akan dikirim ke berbagai negara tahun depan,Russia's sputnik vaccine will be shipped to various countries next year,0.0,1
915,guddd,guddd,0.0,1
919,yeay akhirnya,yeay finally,0.0,1
922,woy ngga sabaf woy dipercepatlah,woy no sabaf woy hurry up,0.0,1
923,uwu,uwu,0.0,1
924,can waittt,can waittt,0.0,1
925,gak sabar,can not wait,0.0,1
927,ayooo,Ayooo,0.0,1
933,idi ada hasil ga nemuin vaksin viral viral vaksin tuh temuin segeraa,"idi, there are results of not finding a viral viral vaccine, please find out immediately",0.0,1
935,vaksin dirimu aja ya,just your vaccine,0.0,1
938,saya nunggu vaksin junjungan ku vaksin dari amerika itu sudah jadi tuan ku selama ini selalu kasih biaya hidup dan kirim bayaran sama nasi bungkus kalau ada pesanan demo,"I am waiting for the vaccine, my lord's vaccine from America, has been my master. All this time, I always give him the cost of living and send payment for packaged rice if there is a demo order",0.0,1
940,pakai saja sendiri,just use it yourself,0.0,1
941,upaya menyelamatkan umat manusia sepatutnya kita hargai jangan difitnah,efforts to save mankind should be respected and not slandered,0.0,1
942,ternyata masih uji klinis ke dan disetujui untuk pemakaian di china saja ini baru jelas,It turns out that it is still in clinical trials and approved for use in China only recently,0.0,1
943,apapun itu kami ttep mndukung pemerintah untuk mnghadirkan vaksin,"Whatever it is, we will still support the government to deliver a vaccine",0.0,1
944,kami tunggu lah,we are waiting,0.0,1
945,sekarang sudah bulan november tapi gak ada vaksin nya bagaimana ini woi,now it's November but there is no vaccine how about this,0.0,1
952,gak usah pada ribut omong ini itu yang gak mau vaksin ya sudah gak usah suntik,"You don't need to be noisy, talking about those who don't want vaccines, so you don't need to inject",0.0,1
953,semoga pandemi ini cepat berakhir yaaa,I hope this pandemic will end soon,0.0,1
956,alhamdulillah ya allah,thank God,0.0,1
963,ya alloh lindungan bangsa indonesia dr kehancuran,yes alloh protection of the Indonesian nation from destruction,0.0,1
965,anak sekolah yang harus jadi prioritas,school children who must be a priority,0.0,1
966,semoga kalau sudah di vaksin semoga semoga semoga semoga semoga semoga sekolah dibuka kembali aminnn,"I hope if it's been vaccinated, I hope I hope I hope the school will reopen",0.0,1
967,hore harap vaksin akan lilir,hooray hope the vaccine will be diluted,0.0,1
970,yang mau vaksin ya vaksin yang gak mau ya terserahhh duh pada ribut aja,"If you want a vaccine, you don't want a vaccine, it's up to the fuss",0.0,1
972,semoga aja dengan di vaksin kita bisa terhindar dari covid amin,I hope that with the vaccine we can avoid Covid Amen,0.0,1
973,terima kasih tik tok yang sudah menamani ku,"Thank you, Tik Tok for covering me",0.0,1
